id,type,finish_id,group,dnaScore,flashMode,primary_metric,target,verify,current
dna-bible-base-acid_etch,base,acid_etch,Bases,27,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":16,""pinFlashScore"":13,""simFlashScore"":19,""detail"":2,""mRange"":80,""rRange"":179,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-acid_rain,base,acid_rain,Bases,35,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":20,""pinFlashScore"":4,""simFlashScore"":28,""detail"":29,""mRange"":64,""rRange"":122,""ccRange"":52,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-alubeam,base,alubeam,Bases,29,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":30,""pinFlashScore"":4,""simFlashScore"":29,""detail"":6,""mRange"":50,""rRange"":26,""ccRange"":19,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-ambulance_white,base,ambulance_white,Bases,32,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":6,""pinFlashScore"":4,""simFlashScore"":90,""detail"":0,""mRange"":13,""rRange"":10,""ccRange"":5,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-anime_cel_shade_chrome,base,anime_cel_shade_chrome,Bases,35,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":40,""pinFlashScore"":4,""simFlashScore"":29,""detail"":1,""mRange"":220,""rRange"":97,""ccRange"":49,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-anime_comic_halftone,base,anime_comic_halftone,Bases,44,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":43,""pinFlashScore"":4,""simFlashScore"":27,""detail"":56,""mRange"":186,""rRange"":105,""ccRange"":48,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-anime_crystal_facet,base,anime_crystal_facet,Bases,31,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":29,""pinFlashScore"":6,""simFlashScore"":28,""detail"":2,""mRange"":160,""rRange"":54,""ccRange"":38,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-anime_energy_aura,base,anime_energy_aura,Bases,32,mixed,rebalance-practical-sim-lighting,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":22,""pinFlashScore"":21,""simFlashScore"":26,""detail"":6,""mRange"":232,""rRange"":153,""ccRange"":30,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-anime_gradient_hair,base,anime_gradient_hair,Bases,33,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":21,""pinFlashScore"":36,""simFlashScore"":16,""detail"":5,""mRange"":168,""rRange"":97,""ccRange"":30,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-anime_mecha_plate,base,anime_mecha_plate,Bases,35,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":35,""pinFlashScore"":4,""simFlashScore"":15,""detail"":11,""mRange"":177,""rRange"":154,""ccRange"":64,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-anime_neon_outline,base,anime_neon_outline,Bases,48,heroBand,rebalance-practical-sim-lighting,"Preserve hero-band visual pop while improving diffuse rig response, crest sharpness, and dark-floor separation.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":41,""pinFlashScore"":35,""simFlashScore"":13,""detail"":25,""mRange"":238,""rRange"":186,""ccRange"":42,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-anime_sakura_scatter,base,anime_sakura_scatter,Bases,27,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":14,""pinFlashScore"":5,""simFlashScore"":35,""detail"":2,""mRange"":138,""rRange"":55,""ccRange"":37,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-anime_sparkle_burst,base,anime_sparkle_burst,Bases,37,pinfield,rebalance-practical-sim-lighting,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":22,""pinFlashScore"":60,""simFlashScore"":13,""detail"":2,""mRange"":235,""rRange"":160,""ccRange"":34,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-anime_speed_lines,base,anime_speed_lines,Bases,38,mixed,rebalance-practical-sim-lighting,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":24,""pinFlashScore"":62,""simFlashScore"":13,""detail"":8,""mRange"":232,""rRange"":146,""ccRange"":28,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-anodized,base,anodized,Bases,23,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":13,""pinFlashScore"":5,""simFlashScore"":16,""detail"":3,""mRange"":91,""rRange"":53,""ccRange"":33,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-anodized_exotic,base,anodized_exotic,Bases,29,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":15,""pinFlashScore"":37,""simFlashScore"":16,""detail"":4,""mRange"":94,""rRange"":51,""ccRange"":34,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-antique_chrome,base,antique_chrome,Bases,34,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":30,""pinFlashScore"":5,""simFlashScore"":28,""detail"":11,""mRange"":102,""rRange"":68,""ccRange"":80,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-aramid,base,aramid,Bases,24,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":11,""pinFlashScore"":4,""simFlashScore"":16,""detail"":13,""mRange"":23,""rRange"":49,""ccRange"":21,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-arctic_ice,base,arctic_ice,Bases,39,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":19,""pinFlashScore"":4,""simFlashScore"":76,""detail"":2,""mRange"":148,""rRange"":125,""ccRange"":89,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-armor_plate,base,armor_plate,Bases,23,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":22,""pinFlashScore"":4,""simFlashScore"":15,""detail"":2,""mRange"":93,""rRange"":27,""ccRange"":3,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-asphalt_grind,base,asphalt_grind,Bases,37,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":18,""pinFlashScore"":28,""simFlashScore"":29,""detail"":17,""mRange"":78,""rRange"":120,""ccRange"":31,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-barn_find,base,barn_find,Bases,33,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":17,""pinFlashScore"":27,""simFlashScore"":26,""detail"":9,""mRange"":83,""rRange"":105,""ccRange"":34,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-battle_patina,base,battle_patina,Bases,18,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":6,""pinFlashScore"":4,""simFlashScore"":18,""detail"":0,""mRange"":31,""rRange"":0,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
